scenario,variant,replicate,method,target_function,noise_std,depth,width,parameter_count,objective,train_mse,clean_mse,test_mse,violation_rate,training_time_s,objective_evaluations,acceptance_rate
baseline,sin_pi,10,GD,sin_pi,0.0,1,40,121,0.002297298567979264,0.002297298567979264,0.002297298567979264,0.002214195770214977,0.35,0.2987457080744207,2000.0,
baseline,sin_pi,10,MC,sin_pi,0.0,1,40,121,0.005354151663473969,0.005354151663473969,0.005354151663473969,0.005117107465115465,0.579,0.13073613736778497,2000.0,0.08465
baseline,sin_pi,11,GD,sin_pi,0.0,1,40,121,0.0031579245805846297,0.0031579245805846297,0.0031579245805846297,0.003029940204189553,0.455,0.19982679188251495,2000.0,
baseline,sin_pi,11,MC,sin_pi,0.0,1,40,121,0.007067778618771306,0.007067778618771306,0.007067778618771306,0.006763502808612709,0.679,0.12123680391814559,2000.0,0.0786
baseline,sin_pi,12,GD,sin_pi,0.0,1,40,121,0.0021408552794502135,0.0021408552794502135,0.0021408552794502135,0.002064744102964552,0.325,0.17131408280692995,2000.0,
baseline,sin_pi,12,MC,sin_pi,0.0,1,40,121,0.004376178763765054,0.004376178763765054,0.004376178763765054,0.004196120145153286,0.529,0.11789970428217203,2000.0,0.08345
baseline,sin_pi,13,GD,sin_pi,0.0,1,40,121,0.0018658620708650508,0.0018658620708650508,0.0018658620708650508,0.0018035945643856013,0.295,0.18009254103526473,2000.0,
baseline,sin_pi,13,MC,sin_pi,0.0,1,40,121,0.004882176729053791,0.004882176729053791,0.004882176729053791,0.00465089767260178,0.5700000000000001,0.12434462085366249,2000.0,0.08065
baseline,sin_pi,14,GD,sin_pi,0.0,1,40,121,0.003277684358436408,0.003277684358436408,0.003277684358436408,0.0031428492440622392,0.465,0.16972299991175532,2000.0,
baseline,sin_pi,14,MC,sin_pi,0.0,1,40,121,0.005340364383414707,0.005340364383414707,0.005340364383414707,0.005105581430436038,0.61,0.13961222087964414,2000.0,0.08935
baseline,sin_pi,15,GD,sin_pi,0.0,1,40,121,0.0016504908152222184,0.0016504908152222184,0.0016504908152222184,0.0015991770682569047,0.27,0.24745212495326996,2000.0,
baseline,sin_pi,15,MC,sin_pi,0.0,1,40,121,0.005931845263400735,0.005931845263400735,0.005931845263400735,0.00562332568058189,0.5860000000000001,0.12720539157744498,2000.0,0.0856
baseline,sin_pi,16,GD,sin_pi,0.0,1,40,121,0.003183397427703762,0.003183397427703762,0.003183397427703762,0.0030551088075653726,0.46,0.18853283300995827,2000.0,
baseline,sin_pi,16,MC,sin_pi,0.0,1,40,121,0.005315990210348543,0.005315990210348543,0.005315990210348543,0.005067153766833225,0.5605,0.13238930844236166,2000.0,0.09375
baseline,sin_pi,17,GD,sin_pi,0.0,1,40,121,0.0022950420746684448,0.0022950420746684448,0.0022950420746684448,0.002211428998466623,0.36,0.18138737510889769,2000.0,
baseline,sin_pi,17,MC,sin_pi,0.0,1,40,121,0.006879968445413711,0.006879968445413711,0.006879968445413711,0.006546424037313528,0.6359999999999999,0.1272689917124808,2000.0,0.09519999999999999
baseline,sin_pi,18,GD,sin_pi,0.0,1,40,121,0.002471632059004236,0.002471632059004236,0.002471632059004236,0.002379673588465611,0.39,0.20436691702343524,2000.0,
baseline,sin_pi,18,MC,sin_pi,0.0,1,40,121,0.005973269610523839,0.005973269610523839,0.005973269610523839,0.005700520468683145,0.6255,0.13883542073890567,2000.0,0.09
baseline,sin_pi,19,GD,sin_pi,0.0,1,40,121,0.0031362923401548133,0.0031362923401548133,0.0031362923401548133,0.0030095241567537822,0.455,0.2387625421397388,2000.0,
baseline,sin_pi,19,MC,sin_pi,0.0,1,40,121,0.005455080219884434,0.005455080219884434,0.005455080219884434,0.005202521611096483,0.626,0.12917047492228448,2000.0,0.091
function,bowl,0,GD,bowl,0.0,1,40,161,0.0014210612017914685,0.0014210612017914685,0.0014210612017914685,0.0010660795160531765,0.1744,0.39844391611404717,2000.0,
function,bowl,0,MC,bowl,0.0,1,40,161,0.005286798127708362,0.005286798127708362,0.005286798127708362,0.003907371101870003,0.37664,0.2413718168158084,2000.0,0.06620000000000001
function,bowl,1,GD,bowl,0.0,1,40,161,0.0016674868481734834,0.0016674868481734834,0.0016674868481734834,0.0015028008701976358,0.2384,0.4288055840879679,2000.0,
function,bowl,1,MC,bowl,0.0,1,40,161,0.005320917244593737,0.005320917244593737,0.005320917244593737,0.0038992420871769894,0.4128,0.2621986167039722,2000.0,0.065
function,bowl,2,GD,bowl,0.0,1,40,161,0.0019138637432778295,0.0019138637432778295,0.0019138637432778295,0.0017164626194455805,0.2752,0.46850895788520575,2000.0,
function,bowl,2,MC,bowl,0.0,1,40,161,0.009059483521970524,0.009059483521970524,0.009059483521970524,0.006896761842870569,0.5072,0.259580583171919,2000.0,0.0641
function,bowl,3,GD,bowl,0.0,1,40,161,0.001581576620952106,0.001581576620952106,0.001581576620952106,0.0011764128056670116,0.2016,0.43698320793919265,2000.0,
function,bowl,3,MC,bowl,0.0,1,40,161,0.004476494176148335,0.004476494176148335,0.004476494176148335,0.003519593594245114,0.41856,0.2758196752052754,2000.0,0.0722
function,bowl,4,GD,bowl,0.0,1,40,161,0.0019197994780868796,0.0019197994780868796,0.0019197994780868796,0.001715673263511589,0.2848,0.45406220806762576,2000.0,
function,bowl,4,MC,bowl,0.0,1,40,161,0.0085063451306983,0.0085063451306983,0.0085063451306983,0.006542704118073062,0.50912,0.2670627580489963,2000.0,0.0713
function,bowl,5,GD,bowl,0.0,1,40,161,0.0016572518733741764,0.0016572518733741764,0.0016572518733741764,0.0012325808128098264,0.2,0.4622700419276953,2000.0,
function,bowl,5,MC,bowl,0.0,1,40,161,0.005958758977659239,0.005958758977659239,0.005958758977659239,0.004502587624441713,0.44800000000000006,0.2679956837091595,2000.0,0.06910000000000001
function,bowl,6,GD,bowl,0.0,1,40,161,0.0013768924259106889,0.0013768924259106889,0.0013768924259106889,0.0012070274705518918,0.1552,0.454409833997488,2000.0,
function,bowl,6,MC,bowl,0.0,1,40,161,0.005951490448829496,0.005951490448829496,0.005951490448829496,0.004451792898369859,0.43552,0.24698368324898184,2000.0,0.0702
function,bowl,7,GD,bowl,0.0,1,40,161,0.0014373554227296967,0.0014373554227296967,0.0014373554227296967,0.0012948002917002924,0.1872,0.44394266698509455,2000.0,
function,bowl,7,MC,bowl,0.0,1,40,161,0.005473512014439702,0.005473512014439702,0.005473512014439702,0.0042115242101934845,0.45088,0.2644468413665891,2000.0,0.0671
function,bowl,8,GD,bowl,0.0,1,40,161,0.0020796837707369002,0.0020796837707369002,0.0020796837707369002,0.0015596283151351306,0.28,0.45287370891310275,2000.0,
function,bowl,8,MC,bowl,0.0,1,40,161,0.004438956507595949,0.004438956507595949,0.004438956507595949,0.00323252873320232,0.38015999999999994,0.25975454146973787,2000.0,0.0669
function,bowl,9,GD,bowl,0.0,1,40,161,0.0020685342708028367,0.0020685342708028367,0.0020685342708028367,0.0015545843417277617,0.28,0.4481450829189271,2000.0,
function,bowl,9,MC,bowl,0.0,1,40,161,0.004985458194514918,0.004985458194514918,0.004985458194514918,0.003725243782083082,0.42336,0.2680027167778462,2000.0,0.0712
function,bowl,10,GD,bowl,0.0,1,40,161,0.0018484098263438008,0.0018484098263438008,0.0018484098263438008,0.0013777839575606894,0.2288,0.47366691706702113,2000.0,
function,bowl,10,MC,bowl,0.0,1,40,161,0.00500129567728678,0.00500129567728678,0.00500129567728678,0.003750333501856694,0.41184000000000004,0.2614163000136614,2000.0,0.066
function,bowl,11,GD,bowl,0.0,1,40,161,0.0015251262380529599,0.0015251262380529599,0.0015251262380529599,0.0011337843820048857,0.2,0.47935416689142585,2000.0,
function,bowl,11,MC,bowl,0.0,1,40,161,0.004939884840064106,0.004939884840064106,0.004939884840064106,0.0038608318108954006,0.42303999999999997,0.26792638320475815,2000.0,0.06770000000000001
function,gaussian_bump,0,GD,gaussian_bump,0.0,1,40,121,0.00038884368147894336,0.00038884368147894336,0.00038884368147894336,0.0003828094028333933,0.0,0.22419312503188848,2000.0,
function,gaussian_bump,0,MC,gaussian_bump,0.0,1,40,121,0.01568835768442662,0.01568835768442662,0.01568835768442662,0.015519582977964078,0.62,0.13240345842204987,2000.0,0.1109
function,gaussian_bump,1,GD,gaussian_bump,0.0,1,40,121,0.00035311145239117506,0.00035311145239117506,0.00035311145239117506,0.0003510941866730313,0.0,0.19284945796243846,2000.0,
function,gaussian_bump,1,MC,gaussian_bump,0.0,1,40,121,0.019027787783219653,0.019027787783219653,0.019027787783219653,0.018786838797588357,0.7390000000000001,0.1246530503500253,2000.0,0.11410000000000001
function,gaussian_bump,2,GD,gaussian_bump,0.0,1,40,121,0.0006274027167297126,0.0006274027167297126,0.0006274027167297126,0.0006217583726727192,0.0,0.18565620807930827,2000.0,
function,gaussian_bump,2,MC,gaussian_bump,0.0,1,40,121,0.02530879114965519,0.02530879114965519,0.02530879114965519,0.02495166328416154,0.773,0.12465711659751832,2000.0,0.1126
