second,waves,kills,shots,remaining_asteroids,ship_x,ship_y,lives
78.0,2,323,604,1,381.04334593145586,34.52600569356898,1
79.0,3,325,612,13,370.9078477806856,30.305198228130475,1
80.0,3,334,620,17,362.43892550678834,41.76507848484698,1
81.0,3,339,629,21,386.8816076615973,24.28601815610184,1
82.0,3,346,636,22,389.7586248553107,1.5677905914912074,1
83.0,3,351,645,28,422.68747889942966,713.1868910298786,1
84.0,3,359,653,29,438.324150386372,707.8552170085984,1
85.0,3,364,662,30,476.78040364081295,670.1618978261309,1
86.0,3,370,670,29,486.1554120107839,653.7450091809972,1
87.0,3,376,678,29,491.25569622365873,642.0189140676629,1
88.0,3,381,687,30,528.6525899129164,646.0548250944587,1
89.0,3,387,695,33,553.1683729254223,592.1096921861151,1
90.0,3,391,703,32,587.3954086963745,569.6594634780533,1
91.0,3,395,712,28,606.7362128010521,565.2019470186154,1
92.0,3,403,718,23,623.2622504829468,564.842760788457,1
93.0,3,407,726,19,600.5661113381192,589.813019407273,1
94.0,3,408,735,18,568.6341761953704,597.2032148327232,1
95.0,3,412,743,14,539.8127676869802,588.8000724371173,1
96.0,3,415,752,14,522.591871866138,521.942421918605,1
97.0,3,420,760,9,526.1609400876727,477.0335729676725,1
98.0,3,424,768,8,529.8048265325665,448.54984675567954,1
99.0,3,427,776,5,571.6915872852244,435.98518047438176,1
100.0,3,429,782,3,591.5262651191775,420.0244325025577,1
101.0,3,430,789,2,624.1577914031926,399.64954285696894,1
102.0,3,430,795,2,621.3516695913743,351.0047451679185,1
103.0,3,431,799,1,568.1725931750857,336.3112725556399,1
104.0,3,431,804,1,529.9632564426063,320.22972511608924,1
105.0,4,432,811,12,488.3091291608678,291.487866611852,1
106.0,4,434,819,14,462.48749611624135,302.87605211274115,1
107.0,4,437,828,18,485.9054893430512,373.7029786428425,1
108.0,4,440,834,21,501.16692272819677,369.05332817096786,1
109.0,4,448,842,30,468.1120750868943,338.52157029753795,1
110.0,4,453,851,37,457.7208096068818,371.715030006054,1
111.0,4,462,859,37,461.77147159139287,388.48669715796535,1
112.0,4,469,867,39,490.832267969762,398.5624856297332,1
113.0,4,476,876,38,514.243723269063,386.10169574994995,1
114.0,4,484,884,38,510.74984930145195,334.42359246781496,1
115.0,4,493,893,35,516.0545010867392,312.11040768814183,1
116.0,4,499,898,29,521.9278964739913,351.22059822016,1
117.0,4,503,905,28,497.9595849702799,372.4907881503871,1
118.0,4,508,912,26,466.4473930062428,385.45627137361777,1
119.0,4,512,918,22,475.17207724019556,422.78594744188183,1
120.0,4,517,927,17,478.32515227094984,423.0505012103392,1
121.0,4,523,935,11,485.5015304750509,371.64368807053285,1
122.0,4,525,944,9,443.809629195588,405.7505906514399,1
123.0,4,527,953,10,412.64567893901057,396.5935909210108,1
124.0,4,529,959,8,429.01912197125745,415.3828040003268,1
125.0,4,530,968,7,453.4793329924618,448.07450657147024,1
